,Date,Dead,Injured,Location,Description,Perpetrators,Part of
328,December 19,50,91,"Najaf, Iraq","2004 Karbala and Najaf bombings: A car bomb exploded in the middle of a funeral procession in Najaf. The bomb was detonated only 300 yards from the Imam Ali Shrine, an important Shiite shrine. Nearby were crowds of people waiting for buses. At least fifty people were killed and ninety-one wounded in this attack. The explosion ruptured water pipes and caused damage to nearby shops. The blast occurred only one day after a bomb attack in Karbala. The attacks may be linked to the upcoming elections. On December 20, sources reported that at least fifty people had been detained in connection with the attack. On December 25, the governor of Najaf announced that the perpetrators of the attack had been arrested.[1]",Islamist insurgents,Iraq War
329,December 21,0,1,"Yangon, Myanmar",The Vigorous Burmese Student Warriors claimed responsibility for a bomb that exploded outside a restaurant popular with foreign tourists in Myanmar's capital. The group demanded the immediate release of all political prisoners. The bombing injured one worker.[1],Vigorous Burmese Student Warriors,Internal conflict in Myanmar
330,December 21,22,72,"Mosul, Iraq",2004 Forward Operating Base Marez bombing: A suicide bomber from Ansar al-Sunnah detonated at a mess hall tent at a Forward Operating Base in Mosul.,Ansar al-Sunnah,Iraq War
331,December 22,1,0,"Hebron, West Bank","An Israeli man was shot by a Palestinian gunman west of Hebron. He was shot at a location where Israel was building a wall to separate the West Bank from Israel. The terrorists escaped. Tel Aviv Ynet reported that it received an anonymous call claiming responsibility from the National Resistance Brigades, the military wing of the Democratic Front for the Liberation of Palestine.[1]",Democratic Front for the Liberation of Palestine,Second Intifada
332,December 22,2,0,"Pattani Province, Thailand","Two teachers were shot dead in Pattani Province. This incident, and others in the region in recent days, forced all schools in Pattani to close for the day.[1]",Pattani separatists,South Thailand insurgency
333,December 23,9,13,"Latifiyah, Iraq","A suicide bomber detonated his vehicle during rush hour at a checkpoint in the Al-Latifiyah area. The explosion destroyed five cars, killed five people, and wounded thirteen others. Most of those killed were police and National Guard Members.[1]",Islamist insurgents,Iraq War
334,December 24,9,19,"Baghdad, Iraq","A fuel tanker exploded in the al-Mansur district of Baghdad, near the Libyan and Jordanian embassies. Several other embassies and government buildings, including the homes of Sunni dignitary Adnan Pachachi and Shiite party leader Ahmed Chalabi, are also located in the area. The fuel tanker was tied with explosives and driven by a suicide bomber. The explosion damaged nearby buildings and killed at least nine people, including guards at the Libyan embassy. At least nineteen people were injured in the attack.[1]",Islamist insurgents,Iraq War
335,December 25,2,7,"Bannu, Pakistan","The Haroon Spices Shop in Bannu (Frontier Province) was attacked when a bomb went off. Other shops in the Mandan Gate Bazaar were also damaged. The shop owner, Haroon, died and eight were taken to the hospital. One died on the way. Haroon was the nephew of Abdul Razzaq Mujaddadi, Member Provincial Assembly.[1]",Unknown,
336,December 28,41,18,"Tikrit, Iraq","At least twenty-nine people were killed and eighteen wounded, a large number of them Iraqi police, when a powerful bomb exploded in a house that police were raiding. After receiving an anonymous call about a militant hideout, police were on their way to raid this hideout in the Ghazaliya neighborhood. When they were about to enter the house a large explosion occurred. Officials believe the attack was a setup/booby-trap arranged by insurgents. As many as eight surrounding houses were destroyed during the attack. On the same day, gunmen attacked a police station in Tikrit, killing twelve police officers.[1]",Islamist insurgents,Iraq War
337,December 29,1,10,"Samarra, Iraq",A suicide bomber detonated his bomb in the center of Samarra. Ten people were wounded in the attack. The target of the blast was not stated in the report.[1],Islamist insurgents,Iraq War
338,December 29,3,10,"Riyadh, Saudi Arabia","A bomb exploded at a center for recruiting emergency troops in Riyadh. The bomb was detonated by a suicide bomber who tried to drive his bomb into the recruiting center. Two security personnel and two bystanders were injured in the attack. This was the second of two bombings, 30 minutes apart on this same night within 5 miles of each other. The attacks come shortly after Saudi security forces were involved in a shootout during a raid of an area where a terror suspect had been killed the night before. Saudi forces carried out raids following the attacks, killing seven militants that they believe were involved. Those involved were members of several radical groups. On January 4, sources reported that a group affiliated with Al-Qaeda, al-Qaeda in the Arabian Peninsula, claimed responsibility for the blasts, claiming that the targets were the Interior Minister, Nayef bin Abdel Aziz al Saud, and his son.[1]",Al Qaeda in the Arabian Peninsula,
